"GEONAME_ID","COUNTRY_ISO_CODE","COUNTRY_NAME","SUBDIVISION_1_NAME","CITY_NAME"
"755888","PL","Poland","Warmia-Masuria","Wieliczki"
"755889","PL","Poland","Lesser Poland Voivodeship","Wieliczka"
"755943","PL","Poland","Lesser Poland Voivodeship","Widnica"
"755946","PL","Poland","Subcarpathian Voivodeship","Widelka"
"756045","PL","Poland","Lesser Poland Voivodeship","Wegrzce Wielkie"
"756046","PL","Poland","Mazovia","Węgrów"
"756084","PL","Poland","Lesser Poland Voivodeship","Wawrzenczyce"
"756091","PL","Poland","Lublin","Wawolnica"
"756093","PL","Poland","Łódź Voivodeship","Wawal"
"756120","PL","Poland","Podlasie","Wasilkow"
"756123","PL","Poland","Mazovia","Wasewo"
"756135","PL","Poland","Mazovia","Warsaw"
"756151","PL","Poland","Mazovia","Warka"
"756180","PL","Poland","Lublin","Wanda"
"756189","PL","Poland","Lesser Poland Voivodeship","Wal Ruda"
"756227","PL","Poland","Lesser Poland Voivodeship","Waksmund"
"756246","PL","Poland","Subcarpathian Voivodeship","Wadowice Gorne"
"756275","PL","Poland","Lesser Poland Voivodeship","Uszew"
"756280","PL","Poland","Subcarpathian Voivodeship","Ustrzyki Dolne"
"756305","PL","Poland","Lublin","Usciaz"
"756315","PL","Poland","Lublin","Urzedow"
"756354","PL","Poland","Lublin","Ulez"
"756377","PL","Poland","Subcarpathian Voivodeship","Ulanow"
"756406","PL","Poland","Subcarpathian Voivodeship","Uherce Mineralne"
"756412","PL","Poland","Mazovia","Ugniewo"
"756425","PL","Poland","Lublin","Gmina Uchanie"
"756464","PL","Poland","Lesser Poland Voivodeship","Tymowa"
"756484","PL","Poland","Podlasie","Tykocin"
"756485","PL","Poland","Subcarpathian Voivodeship","Tyczyn"
"756577","PL","Poland","Lublin","Turobin"
"756598","PL","Poland","Subcarpathian Voivodeship","Turbia"
"756634","PL","Poland","Lesser Poland Voivodeship","Tuchow"
"756663","PL","Poland","Subcarpathian Voivodeship","Trzesowka"
"756679","PL","Poland","Lesser Poland Voivodeship","Trzemesnia"
"756692","PL","Poland","Lublin","Trzebieszow"
"756769","PL","Poland","Mazovia","Truskaw"
"756827","PL","Poland","Lublin","Towarzystwo"
"756867","PL","Poland","Łódź Voivodeship","Tomaszów Mazowiecki"
"756868","PL","Poland","Lublin","Tomaszow Lubelski"
"756879","PL","Poland","Łódź Voivodeship","Tomaszow"
"756919","PL","Poland","Mazovia","Tłuszcz"
"756939","PL","Poland","Mazovia","Teresin"
"756988","PL","Poland","Lesser Poland Voivodeship","Tegoborze"
"757020","PL","Poland","Lesser Poland Voivodeship","Tarnowiec"
"757026","PL","Poland","Lesser Poland Voivodeship","Tarnów"
"757029","PL","Poland","Lublin","Tarnogrod"
"757033","PL","Poland","Subcarpathian Voivodeship","Tarnobrzeg"
"757044","PL","Poland","Lublin","Tarnawatka"
"757064","PL","Poland","Subcarpathian Voivodeship","Targowiska"
"757071","PL","Poland","Mazovia","Tarczyn"
"757144","PL","Poland","Warmia-Masuria","Szymki"
"757178","PL","Poland","Mazovia","Szydlowiec"
"757182","PL","Poland","Świętokrzyskie","Gmina Szydłów"
"757214","PL","Poland","Podlasie","Szumowo"
"757255","PL","Poland","Subcarpathian Voivodeship","Szowsko"
"757298","PL","Poland","Subcarpathian Voivodeship","Szkodna"
"757322","PL","Poland","Lesser Poland Voivodeship","Szerzyny"
"757335","PL","Poland","Podlasie","Szepietowo"
"757357","PL","Poland","Warmia-Masuria","Szczytno"
"757367","PL","Poland","Lesser Poland Voivodeship","Szczyrzyc"
"757376","PL","Poland","Lesser Poland Voivodeship","Szczurowa"
"757469","PL","Poland","Mazovia","Szczaki"
"757658","PL","Poland","Mazovia","Swiecice"
"757692","PL","Poland","Lublin","Swidnik"
"757718","PL","Poland","Podlasie","Suwałki"
"757735","PL","Poland","Lublin","Susiec"
"757758","PL","Poland","Podlasie","Supraśl"
"757782","PL","Poland","Mazovia","Sulkowice"
"757809","PL","Poland","Mazovia","Sulejowek"
"757886","PL","Poland","Świętokrzyskie","Suchedniow"
"757910","PL","Poland","Subcarpathian Voivodeship","Stykow"
"757957","PL","Poland","Subcarpathian Voivodeship","Strzyzow"
"757988","PL","Poland","Lesser Poland Voivodeship","Strzelce Wielkie"
"757997","PL","Poland","Subcarpathian Voivodeship","Strzegocice"
"758071","PL","Poland","Mazovia","Stromiec"
"758090","PL","Poland","Świętokrzyskie","Strawczyn"
"758116","PL","Poland","Świętokrzyskie","Stopnica"
"758238","PL","Poland","Podlasie","Stawiski"
"758242","PL","Poland","Warmia-Masuria","Stawiguda"
"758248","PL","Poland","Lublin","Staw"
"758252","PL","Poland","Świętokrzyskie","Staszow"
"758282","PL","Poland","Lesser Poland Voivodeship","Stary Sacz"
"758326","PL","Poland","Warmia-Masuria","Stare Miasto"
"758332","PL","Poland","Warmia-Masuria","Stare Juchy"
"758340","PL","Poland","Mazovia","Stare Brodno"
"758343","PL","Poland","Mazovia","Stare Babice"
"764421","PL","Poland","Podlasie","Mońki"
"764578","PL","Poland","Świętokrzyskie","Mniow"
"764626","PL","Poland","Mazovia","Mlochow"
"764634","PL","Poland","Mazovia","Mława"
"764659","PL","Poland","Świętokrzyskie","Mirzec"
"764679","PL","Poland","Mazovia","Mińsk Mazowiecki"
