"DISPLAY","DESCRIPTION"
"Balcony with sea view","Curabitur sagittis ligula eget tempor pulvinar"
"Bath","Morbi at vehicula velit"
"Garden furniture","Nullam sed sapien vel turpis suscipit faucibus"
"Hair dryer","Morbi mi lorem, aliquam sed euismod sed, aliquet pulvinar purus"
"Iron","Integer porttitor, dolor sed pharetra hendrerit, dui velit lacinia purus, non venenatis quam diam sed dui."
"Parking","Maecenas commodo mattis volutpat"
"Pool","Lorem ipsum dolor sit amet, consectetur adipiscing elit"
"Private entrance","Donec ornare, turpis ac commodo tincidunt, leo orci facilisis dui, non tincidunt lectus nisl vitae nisl"
"Shower","Sed turpis ipsum, pretium ut commodo a, congue non ante"
"Soundproof","Quisque venenatis bibendum diam et ullamcorper"
"SPA","Nullam egestas ultricies tincidunt"
"Super market","Donec blandit auctor congue"
"Wifi","Etiam elementum, sem vitae imperdiet euismod, sapien turpis vehicula nisi, nec finibus magna urna dignissim dolor"
"Wooden floor","Maecenas euismod erat purus, vel convallis eros porta in"
"Private bathroom","Pellentesque at egestas tortor, et porttitor ante"
"Living room","Ut vitae mauris at magna volutpat vulputate"
"Breakfast","Pellentesque ac mi sem"
"Dinner","Integer lobortis enim vitae elit tempor, vel elementum ligula porta"
"Restaurant","Nulla tempus nibh et lacinia imperdiet"
"Kindergarten","In sed consectetur mi, sit amet suscipit ex"
"Nursery","Nam molestie leo elit, non mollis nulla ullamcorper non"
"Heating","Nunc blandit nec nisi a scelerisque"
"Weardrobe","Integer eget ante nec enim vulputate fringilla vitae id nunc"
"Free reservation","Fusce risus elit, accumsan vitae elit sed, egestas porta libero"
"Two seperate beds","Nunc at ligula vehicula, facilisis magna id, bibendum neque."
"Smoking allowed","Aliquam ullamcorper congue leo id ultricies"
"Smoking prohibited","Nulla pulvinar justo et mauris semper congue"
